# NOTA DE CORTE  PROVA 1  RELATÓRIO 1  RELATÓRIO 2  PROVA 2
0.0       0.138600        0.8224170       0.4537720       -0.4147890       
0.2       1.141850       -0.3473890       0.9505130       -0.7449710       
1.1       1.666390       -0.7351380       0.8248360       -0.7560880       
3.0       1.311960       -0.8058130       0.9309100       -0.4370530       
3.2       1.101590       -0.7549420       0.7893160       -0.1359640       
6.1       1.548200       -0.8263390       0.5826740       -0.3045360       
6.3       1.321180       -0.7614710       0.4690170       -0.0287221       
7.1       0.672257       -0.3681950       0.0347192        0.6612190       
8.5       0.420290       -0.1673910      -0.1137680        0.8608700       
8.8       0.678161        0.0775862      -0.2040230        0.4482760       
9.3       0.000000        0.0000000       0.0000000        1.0000000       
